Disease,Category,Symptoms,CommonAgeGroup,Sex,Severity,Specialist,SyntheticTreatment
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Confusion, Poor judgment, Memory loss",Child,Male,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
PCOS,Chronic Disorder,"Hair thinning, Weight gain, Irregular periods, Acne",Child,Female,Mild,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Heart Attack,Emergency Care,"Shortness of breath, Sweating",Child,Female,Moderate,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Eczema,Dermatological,"Swelling, Itchy skin",Child,Any,Mild,Dermatologist,Consultation and standard treatment protocols
Stroke,Specialized Chronic Diseases,"Confusion, Numbness, Vision problems, Trouble walking",Teen,Any,Mild,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
PCOS,Chronic Disorder,"Irregular periods, Hair thinning",Child,Male,Mild,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Appendicitis,Surgical Conditions,"Abdominal pain, Vomiting, Nausea, Loss of appetite",Adult,Male,Mild,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Memory loss",Elderly,Female,Severe,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Stroke,Specialized Chronic Diseases,"Confusion, Trouble walking, Vision problems",Elderly,Female,Mild,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Poor judgment, Memory loss",Teen,Female,Severe,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Poor judgment, Confusion, Memory loss",Adult,Male,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Eczema,Dermatological,"Red patches, Dryness, Itchy skin, Swelling",Elderly,Any,Moderate,Dermatologist,Consultation and standard treatment protocols
PCOS,Chronic Disorder,"Acne, Hair thinning, Irregular periods",Child,Male,Mild,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Tuberculosis,Rare Diseases,"Weight loss, Fatigue, Night sweats",Child,Female,Mild,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Diabetes,Chronic Illness,"Fatigue, Frequent urination, Blurred vision, Increased thirst",Child,Female,Severe,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
PCOS,Chronic Disorder,"Hair thinning, Irregular periods, Weight gain, Acne",Teen,Female,Moderate,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Heart Attack,Emergency Care,"Shortness of breath, Chest pain",Child,Male,Moderate,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Eczema,Dermatological,"Red patches, Swelling",Elderly,Female,Moderate,Dermatologist,Consultation and standard treatment protocols
Stroke,Specialized Chronic Diseases,"Trouble walking, Numbness, Vision problems, Confusion",Teen,Female,Mild,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Appendicitis,Surgical Conditions,"Loss of appetite, Abdominal pain",Child,Male,Mild,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Diabetes,Chronic Illness,"Frequent urination, Blurred vision, Fatigue",Elderly,Any,Moderate,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Asthma,Chronic Illness,"Shortness of breath, Wheezing",Child,Male,Severe,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Stroke,Specialized Chronic Diseases,"Trouble walking, Confusion, Vision problems",Elderly,Any,Severe,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Asthma,Chronic Illness,"Chest tightness, Wheezing",Elderly,Male,Mild,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Appendicitis,Surgical Conditions,"Nausea, Loss of appetite, Vomiting",Elderly,Female,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Stroke,Specialized Chronic Diseases,"Vision problems, Confusion",Elderly,Male,Severe,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Diabetes,Chronic Illness,"Increased thirst, Frequent urination, Blurred vision",Child,Female,Mild,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Stroke,Specialized Chronic Diseases,"Numbness, Trouble walking, Confusion",Teen,Female,Severe,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Heart Attack,Emergency Care,"Chest pain, Sweating",Child,Female,Moderate,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Flu,Common Illnesses,"Fever, Chills",Child,Female,Severe,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Eczema,Dermatological,"Itchy skin, Red patches",Child,Female,Moderate,Dermatologist,Consultation and standard treatment protocols
Diabetes,Chronic Illness,"Blurred vision, Increased thirst",Teen,Female,Moderate,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Stroke,Specialized Chronic Diseases,"Trouble walking, Numbness",Child,Any,Severe,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Diabetes,Chronic Illness,"Increased thirst, Frequent urination",Adult,Male,Mild,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Asthma,Chronic Illness,"Chest tightness, Cough, Shortness of breath, Wheezing",Elderly,Any,Mild,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
PCOS,Chronic Disorder,"Irregular periods, Weight gain",Elderly,Male,Severe,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Stroke,Specialized Chronic Diseases,"Trouble walking, Numbness",Teen,Female,Severe,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Eczema,Dermatological,"Dryness, Itchy skin, Swelling",Elderly,Female,Moderate,Dermatologist,Consultation and standard treatment protocols
Tuberculosis,Rare Diseases,"Fatigue, Cough",Child,Male,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Flu,Common Illnesses,"Body aches, Chills, Cough, Sore throat",Adult,Female,Mild,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Heart Attack,Emergency Care,"Nausea, Sweating",Teen,Female,Moderate,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Diabetes,Chronic Illness,"Increased thirst, Fatigue, Blurred vision",Elderly,Any,Moderate,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Heart Attack,Emergency Care,"Nausea, Sweating, Shortness of breath, Chest pain",Child,Male,Severe,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Eczema,Dermatological,"Itchy skin, Dryness",Elderly,Female,Mild,Dermatologist,Consultation and standard treatment protocols
Tuberculosis,Rare Diseases,"Night sweats, Weight loss, Fatigue, Cough",Teen,Any,Severe,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
PCOS,Chronic Disorder,"Acne, Hair thinning, Irregular periods",Child,Male,Moderate,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Diabetes,Chronic Illness,"Blurred vision, Frequent urination",Child,Male,Moderate,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Asthma,Chronic Illness,"Cough, Shortness of breath, Wheezing, Chest tightness",Elderly,Any,Moderate,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Asthma,Chronic Illness,"Wheezing, Cough, Chest tightness, Shortness of breath",Adult,Female,Severe,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Diabetes,Chronic Illness,"Frequent urination, Increased thirst",Child,Female,Moderate,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Tuberculosis,Rare Diseases,"Fatigue, Weight loss",Adult,Male,Severe,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
PCOS,Chronic Disorder,"Hair thinning, Acne, Weight gain",Adult,Male,Moderate,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Flu,Common Illnesses,"Chills, Body aches, Sore throat, Fever",Elderly,Any,Mild,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Asthma,Chronic Illness,"Shortness of breath, Chest tightness, Wheezing",Child,Male,Moderate,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Alzheimer’s,Specialized Chronic Diseases,"Memory loss, Mood swings, Poor judgment, Confusion",Elderly,Male,Mild,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Tuberculosis,Rare Diseases,"Night sweats, Cough",Teen,Any,Mild,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Asthma,Chronic Illness,"Chest tightness, Shortness of breath, Wheezing",Teen,Any,Mild,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
