Disease,Category,Symptoms,CommonAgeGroup,Sex,Severity,Specialist
PCOS,Chronic Disorder,"Hair thinning, Weight gain",Teen,Female,Moderate,Gynecologist
Eczema,Dermatological,"Swelling, Itchy skin",Teen,Male,Mild,Dermatologist
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Poor judgment, Memory loss",Adult,Female,Mild,Neurologist
Diabetes,Chronic Illness,"Frequent urination, Fatigue",Teen,Male,Moderate,Endocrinologist
Tuberculosis,Rare Diseases,"Weight loss, Fatigue, Night sweats",Elderly,Any,Moderate,Infectious Disease Specialist
Flu,Common Illnesses,"Fever, Body aches, Sore throat",Adult,Any,Moderate,General Physician
Appendicitis,Surgical Conditions,"Abdominal pain, Loss of appetite, Vomiting, Nausea",Elderly,Female,Moderate,Surgeon
Flu,Common Illnesses,"Fever, Cough",Elderly,Any,Moderate,General Physician
Tuberculosis,Rare Diseases,"Weight loss, Night sweats",Elderly,Any,Mild,Infectious Disease Specialist
Flu,Common Illnesses,"Sore throat, Body aches",Adult,Male,Moderate,General Physician
Eczema,Dermatological,"Dryness, Red patches, Swelling, Itchy skin",Adult,Male,Moderate,Dermatologist
Tuberculosis,Rare Diseases,"Fatigue, Night sweats",Teen,Female,Moderate,Infectious Disease Specialist
Flu,Common Illnesses,"Cough, Fever",Adult,Female,Severe,General Physician
Eczema,Dermatological,"Itchy skin, Red patches, Dryness, Swelling",Adult,Female,Mild,Dermatologist
Appendicitis,Surgical Conditions,"Abdominal pain, Loss of appetite, Nausea, Vomiting",Elderly,Female,Moderate,Surgeon
Heart Attack,Emergency Care,"Shortness of breath, Chest pain, Sweating",Teen,Any,Mild,Cardiologist
Diabetes,Chronic Illness,"Frequent urination, Increased thirst, Fatigue, Blurred vision",Elderly,Female,Severe,Endocrinologist
Asthma,Chronic Illness,"Cough, Wheezing, Chest tightness",Teen,Female,Moderate,Pulmonologist
PCOS,Chronic Disorder,"Hair thinning, Weight gain",Teen,Any,Mild,Gynecologist
Diabetes,Chronic Illness,"Frequent urination, Blurred vision, Increased thirst",Child,Female,Severe,Endocrinologist
Heart Attack,Emergency Care,"Sweating, Chest pain",Adult,Female,Mild,Cardiologist
PCOS,Chronic Disorder,"Acne, Hair thinning, Irregular periods",Child,Female,Moderate,Gynecologist
Flu,Common Illnesses,"Chills, Cough",Adult,Any,Mild,General Physician
Asthma,Chronic Illness,"Shortness of breath, Chest tightness, Cough",Child,Female,Moderate,Pulmonologist
Tuberculosis,Rare Diseases,"Cough, Weight loss, Night sweats",Adult,Any,Moderate,Infectious Disease Specialist
Eczema,Dermatological,"Dryness, Red patches, Itchy skin",Adult,Female,Mild,Dermatologist
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Mood swings, Confusion, Memory loss",Teen,Male,Moderate,Neurologist
Flu,Common Illnesses,"Fever, Body aches",Adult,Female,Severe,General Physician
Heart Attack,Emergency Care,"Chest pain, Shortness of breath, Nausea, Sweating",Child,Male,Moderate,Cardiologist
PCOS,Chronic Disorder,"Irregular periods, Acne, Weight gain",Elderly,Male,Severe,Gynecologist
Asthma,Chronic Illness,"Chest tightness, Cough, Wheezing, Shortness of breath",Child,Male,Moderate,Pulmonologist
Flu,Common Illnesses,"Cough, Fever, Chills",Elderly,Male,Severe,General Physician
Stroke,Specialized Chronic Diseases,"Trouble walking, Numbness",Teen,Male,Moderate,Neurologist
Diabetes,Chronic Illness,"Frequent urination, Blurred vision, Increased thirst",Child,Female,Moderate,Endocrinologist
Asthma,Chronic Illness,"Wheezing, Shortness of breath, Cough, Chest tightness",Child,Male,Moderate,Pulmonologist
Stroke,Specialized Chronic Diseases,"Numbness, Trouble walking, Confusion, Vision problems",Adult,Male,Severe,Neurologist
Flu,Common Illnesses,"Fever, Body aches, Cough, Chills",Adult,Any,Moderate,General Physician
Flu,Common Illnesses,"Chills, Cough",Adult,Male,Moderate,General Physician
PCOS,Chronic Disorder,"Irregular periods, Acne, Hair thinning",Adult,Male,Moderate,Gynecologist
Appendicitis,Surgical Conditions,"Loss of appetite, Abdominal pain, Vomiting",Child,Female,Moderate,Surgeon
Heart Attack,Emergency Care,"Nausea, Shortness of breath, Sweating",Teen,Female,Moderate,Cardiologist
Eczema,Dermatological,"Itchy skin, Dryness, Red patches, Swelling",Adult,Male,Moderate,Dermatologist
Diabetes,Chronic Illness,"Blurred vision, Fatigue, Increased thirst",Child,Female,Mild,Endocrinologist
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Mood swings, Confusion, Memory loss",Elderly,Male,Moderate,Neurologist
PCOS,Chronic Disorder,"Hair thinning, Irregular periods, Weight gain",Teen,Male,Moderate,Gynecologist
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Poor judgment, Memory loss",Elderly,Any,Moderate,Neurologist
Tuberculosis,Rare Diseases,"Cough, Night sweats, Weight loss",Elderly,Male,Moderate,Infectious Disease Specialist
Flu,Common Illnesses,"Fever, Body aches",Adult,Any,Moderate,General Physician
Eczema,Dermatological,"Swelling, Dryness",Elderly,Any,Moderate,Dermatologist
Stroke,Specialized Chronic Diseases,"Confusion, Numbness",Elderly,Female,Moderate,Neurologist
Stroke,Specialized Chronic Diseases,"Confusion, Trouble walking, Numbness, Vision problems",Teen,Any,Moderate,Neurologist
Appendicitis,Surgical Conditions,"Vomiting, Loss of appetite, Abdominal pain",Elderly,Male,Severe,Surgeon
Heart Attack,Emergency Care,"Shortness of breath, Nausea",Elderly,Male,Moderate,Cardiologist
Tuberculosis,Rare Diseases,"Weight loss, Fatigue",Child,Female,Mild,Infectious Disease Specialist
Stroke,Specialized Chronic Diseases,"Confusion, Numbness, Vision problems",Child,Male,Mild,Neurologist
Diabetes,Chronic Illness,"Increased thirst, Blurred vision",Child,Any,Mild,Endocrinologist
Eczema,Dermatological,"Itchy skin, Red patches, Dryness",Teen,Any,Mild,Dermatologist
Alzheimer’s,Specialized Chronic Diseases,"Memory loss, Confusion, Mood swings",Teen,Female,Moderate,Neurologist
Diabetes,Chronic Illness,"Increased thirst, Frequent urination",Elderly,Male,Moderate,Endocrinologist
Diabetes,Chronic Illness,"Fatigue, Frequent urination",Elderly,Male,Moderate,Endocrinologist
Eczema,Dermatological,"Swelling, Itchy skin, Dryness, Red patches",Child,Any,Mild,Dermatologist
Flu,Common Illnesses,"Chills, Sore throat",Child,Any,Moderate,General Physician
Asthma,Chronic Illness,"Chest tightness, Cough",Elderly,Female,Moderate,Pulmonologist
Alzheimer’s,Specialized Chronic Diseases,"Memory loss, Mood swings, Confusion, Poor judgment",Elderly,Any,Severe,Neurologist
Heart Attack,Emergency Care,"Nausea, Sweating, Chest pain, Shortness of breath",Child,Male,Mild,Cardiologist
Flu,Common Illnesses,"Cough, Chills",Child,Female,Moderate,General Physician
Appendicitis,Surgical Conditions,"Nausea, Vomiting, Abdominal pain",Teen,Any,Moderate,Surgeon
Stroke,Specialized Chronic Diseases,"Confusion, Numbness",Teen,Male,Moderate,Neurologist
Tuberculosis,Rare Diseases,"Fatigue, Cough",Child,Male,Mild,Infectious Disease Specialist
Eczema,Dermatological,"Dryness, Itchy skin, Red patches",Teen,Male,Moderate,Dermatologist
Heart Attack,Emergency Care,"Chest pain, Shortness of breath",Child,Female,Mild,Cardiologist
PCOS,Chronic Disorder,"Acne, Irregular periods, Weight gain, Hair thinning",Teen,Male,Severe,Gynecologist
Heart Attack,Emergency Care,"Shortness of breath, Nausea",Teen,Male,Mild,Cardiologist
Eczema,Dermatological,"Dryness, Itchy skin, Red patches",Elderly,Male,Mild,Dermatologist
PCOS,Chronic Disorder,"Irregular periods, Acne, Hair thinning, Weight gain",Adult,Male,Mild,Gynecologist
Heart Attack,Emergency Care,"Chest pain, Nausea, Sweating",Teen,Any,Moderate,Cardiologist
Asthma,Chronic Illness,"Cough, Chest tightness, Shortness of breath",Teen,Male,Severe,Pulmonologist
Heart Attack,Emergency Care,"Shortness of breath, Nausea",Adult,Male,Mild,Cardiologist
Eczema,Dermatological,"Itchy skin, Red patches, Dryness, Swelling",Child,Female,Moderate,Dermatologist
Heart Attack,Emergency Care,"Shortness of breath, Nausea",Elderly,Male,Severe,Cardiologist
Stroke,Specialized Chronic Diseases,"Numbness, Confusion, Vision problems, Trouble walking",Child,Male,Moderate,Neurologist
Asthma,Chronic Illness,"Shortness of breath, Wheezing, Cough",Elderly,Male,Moderate,Pulmonologist
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Mood swings, Memory loss, Poor judgment",Adult,Male,Moderate,Neurologist
Asthma,Chronic Illness,"Cough, Wheezing",Teen,Male,Moderate,Pulmonologist
Flu,Common Illnesses,"Cough, Sore throat",Adult,Male,Mild,General Physician
Tuberculosis,Rare Diseases,"Fatigue, Weight loss, Night sweats, Cough",Child,Male,Severe,Infectious Disease Specialist
PCOS,Chronic Disorder,"Acne, Irregular periods, Hair thinning",Elderly,Female,Moderate,Gynecologist
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Confusion, Memory loss, Poor judgment",Teen,Female,Mild,Neurologist
Asthma,Chronic Illness,"Shortness of breath, Cough, Wheezing",Child,Male,Moderate,Pulmonologist
Flu,Common Illnesses,"Chills, Body aches, Sore throat",Elderly,Male,Mild,General Physician
Asthma,Chronic Illness,"Chest tightness, Wheezing, Cough, Shortness of breath",Elderly,Any,Moderate,Pulmonologist
Diabetes,Chronic Illness,"Blurred vision, Fatigue, Increased thirst",Elderly,Any,Mild,Endocrinologist
Appendicitis,Surgical Conditions,"Abdominal pain, Vomiting, Loss of appetite",Teen,Any,Moderate,Surgeon
Eczema,Dermatological,"Red patches, Dryness",Adult,Female,Severe,Dermatologist
Heart Attack,Emergency Care,"Nausea, Shortness of breath, Sweating",Child,Male,Moderate,Cardiologist
PCOS,Chronic Disorder,"Irregular periods, Acne, Hair thinning, Weight gain",Adult,Female,Moderate,Gynecologist
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Memory loss, Confusion",Child,Male,Severe,Neurologist
Flu,Common Illnesses,"Body aches, Chills, Fever, Sore throat",Adult,Male,Mild,General Physician
Appendicitis,Surgical Conditions,"Loss of appetite, Nausea",Elderly,Female,Mild,Surgeon
Flu,Common Illnesses,"Fever, Body aches",Adult,Any,Moderate,General Physician
Appendicitis,Surgical Conditions,"Abdominal pain, Nausea, Vomiting, Loss of appetite",Child,Male,Mild,Surgeon
Appendicitis,Surgical Conditions,"Abdominal pain, Nausea, Vomiting",Elderly,Any,Moderate,Surgeon
PCOS,Chronic Disorder,"Irregular periods, Weight gain, Hair thinning, Acne",Elderly,Male,Moderate,Gynecologist
Tuberculosis,Rare Diseases,"Night sweats, Weight loss",Child,Female,Moderate,Infectious Disease Specialist
Stroke,Specialized Chronic Diseases,"Numbness, Trouble walking",Child,Female,Severe,Neurologist
PCOS,Chronic Disorder,"Irregular periods, Acne, Weight gain, Hair thinning",Teen,Male,Mild,Gynecologist
Heart Attack,Emergency Care,"Chest pain, Nausea, Shortness of breath, Sweating",Child,Any,Moderate,Cardiologist
Alzheimer’s,Specialized Chronic Diseases,"Memory loss, Mood swings, Poor judgment, Confusion",Adult,Male,Moderate,Neurologist
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Mood swings, Poor judgment, Memory loss",Adult,Any,Mild,Neurologist
Heart Attack,Emergency Care,"Sweating, Nausea, Chest pain",Elderly,Male,Moderate,Cardiologist
Heart Attack,Emergency Care,"Shortness of breath, Nausea, Chest pain, Sweating",Adult,Male,Mild,Cardiologist
Appendicitis,Surgical Conditions,"Nausea, Abdominal pain, Loss of appetite, Vomiting",Teen,Male,Severe,Surgeon
Diabetes,Chronic Illness,"Blurred vision, Increased thirst, Fatigue",Teen,Male,Severe,Endocrinologist
Eczema,Dermatological,"Red patches, Itchy skin, Swelling",Adult,Any,Moderate,Dermatologist
Eczema,Dermatological,"Dryness, Swelling, Itchy skin",Elderly,Male,Severe,Dermatologist
Heart Attack,Emergency Care,"Shortness of breath, Sweating, Chest pain",Adult,Any,Moderate,Cardiologist
Diabetes,Chronic Illness,"Fatigue, Increased thirst, Blurred vision, Frequent urination",Teen,Male,Moderate,Endocrinologist
Stroke,Specialized Chronic Diseases,"Trouble walking, Numbness, Confusion",Child,Female,Severe,Neurologist
PCOS,Chronic Disorder,"Weight gain, Acne, Hair thinning",Teen,Any,Moderate,Gynecologist
PCOS,Chronic Disorder,"Weight gain, Irregular periods, Acne",Teen,Female,Moderate,Gynecologist
Diabetes,Chronic Illness,"Frequent urination, Blurred vision, Increased thirst",Teen,Male,Moderate,Endocrinologist
Diabetes,Chronic Illness,"Increased thirst, Blurred vision, Frequent urination",Teen,Any,Mild,Endocrinologist
PCOS,Chronic Disorder,"Irregular periods, Acne, Hair thinning, Weight gain",Adult,Any,Moderate,Gynecologist
Stroke,Specialized Chronic Diseases,"Trouble walking, Vision problems, Confusion, Numbness",Child,Female,Moderate,Neurologist
Tuberculosis,Rare Diseases,"Night sweats, Cough, Weight loss",Child,Female,Mild,Infectious Disease Specialist
Eczema,Dermatological,"Dryness, Swelling, Red patches, Itchy skin",Teen,Female,Severe,Dermatologist
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Memory loss, Poor judgment",Adult,Any,Severe,Neurologist
Diabetes,Chronic Illness,"Fatigue, Increased thirst",Teen,Any,Mild,Endocrinologist
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Poor judgment, Memory loss, Confusion",Adult,Any,Moderate,Neurologist
Asthma,Chronic Illness,"Chest tightness, Wheezing, Cough",Teen,Female,Moderate,Pulmonologist
Stroke,Specialized Chronic Diseases,"Confusion, Trouble walking, Numbness",Teen,Male,Mild,Neurologist
Eczema,Dermatological,"Itchy skin, Dryness",Elderly,Any,Moderate,Dermatologist
Heart Attack,Emergency Care,"Shortness of breath, Chest pain, Sweating, Nausea",Child,Any,Mild,Cardiologist
Stroke,Specialized Chronic Diseases,"Confusion, Trouble walking",Child,Female,Mild,Neurologist
Eczema,Dermatological,"Itchy skin, Red patches, Swelling, Dryness",Teen,Any,Mild,Dermatologist
Heart Attack,Emergency Care,"Nausea, Sweating, Shortness of breath, Chest pain",Child,Male,Moderate,Cardiologist
Stroke,Specialized Chronic Diseases,"Vision problems, Confusion, Numbness, Trouble walking",Elderly,Male,Mild,Neurologist
Asthma,Chronic Illness,"Shortness of breath, Cough",Child,Any,Moderate,Pulmonologist
Eczema,Dermatological,"Swelling, Dryness, Red patches, Itchy skin",Child,Female,Mild,Dermatologist
Stroke,Specialized Chronic Diseases,"Numbness, Trouble walking, Vision problems",Child,Female,Mild,Neurologist
PCOS,Chronic Disorder,"Acne, Weight gain, Irregular periods, Hair thinning",Child,Any,Moderate,Gynecologist
Appendicitis,Surgical Conditions,"Loss of appetite, Vomiting, Nausea",Adult,Any,Moderate,Surgeon
Asthma,Chronic Illness,"Wheezing, Shortness of breath",Teen,Any,Moderate,Pulmonologist
PCOS,Chronic Disorder,"Acne, Weight gain, Hair thinning",Elderly,Any,Moderate,Gynecologist
Stroke,Specialized Chronic Diseases,"Confusion, Trouble walking, Vision problems, Numbness",Teen,Any,Moderate,Neurologist
Diabetes,Chronic Illness,"Fatigue, Increased thirst, Frequent urination, Blurred vision",Child,Female,Mild,Endocrinologist
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Poor judgment",Elderly,Female,Severe,Neurologist
Diabetes,Chronic Illness,"Fatigue, Frequent urination",Adult,Any,Moderate,Endocrinologist
Flu,Common Illnesses,"Cough, Fever, Chills, Sore throat",Adult,Any,Mild,General Physician
Stroke,Specialized Chronic Diseases,"Numbness, Vision problems, Trouble walking",Child,Female,Severe,Neurologist
Stroke,Specialized Chronic Diseases,"Vision problems, Confusion, Numbness",Adult,Male,Moderate,Neurologist
Flu,Common Illnesses,"Sore throat, Chills",Adult,Male,Severe,General Physician
Stroke,Specialized Chronic Diseases,"Numbness, Vision problems, Confusion, Trouble walking",Teen,Any,Mild,Neurologist
Flu,Common Illnesses,"Cough, Body aches, Chills, Sore throat",Adult,Male,Mild,General Physician
Heart Attack,Emergency Care,"Nausea, Sweating, Shortness of breath, Chest pain",Child,Any,Moderate,Cardiologist
Asthma,Chronic Illness,"Shortness of breath, Wheezing, Chest tightness, Cough",Adult,Male,Moderate,Pulmonologist
Flu,Common Illnesses,"Fever, Sore throat",Child,Male,Moderate,General Physician
PCOS,Chronic Disorder,"Acne, Hair thinning, Weight gain, Irregular periods",Child,Male,Mild,Gynecologist
Asthma,Chronic Illness,"Wheezing, Cough, Shortness of breath",Child,Any,Moderate,Pulmonologist
Tuberculosis,Rare Diseases,"Cough, Weight loss",Elderly,Male,Severe,Infectious Disease Specialist
Diabetes,Chronic Illness,"Fatigue, Frequent urination",Adult,Female,Moderate,Endocrinologist
Asthma,Chronic Illness,"Chest tightness, Wheezing",Child,Female,Mild,Pulmonologist
PCOS,Chronic Disorder,"Irregular periods, Acne, Weight gain",Adult,Female,Moderate,Gynecologist
Heart Attack,Emergency Care,"Shortness of breath, Chest pain, Nausea, Sweating",Teen,Male,Moderate,Cardiologist
Flu,Common Illnesses,"Fever, Chills, Cough",Elderly,Male,Mild,General Physician
Eczema,Dermatological,"Swelling, Itchy skin",Elderly,Any,Moderate,Dermatologist
Asthma,Chronic Illness,"Wheezing, Shortness of breath, Chest tightness, Cough",Elderly,Female,Moderate,Pulmonologist
Asthma,Chronic Illness,"Wheezing, Cough, Shortness of breath, Chest tightness",Teen,Male,Moderate,Pulmonologist
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Mood swings, Confusion, Memory loss",Teen,Any,Mild,Neurologist
Stroke,Specialized Chronic Diseases,"Confusion, Trouble walking",Child,Any,Moderate,Neurologist
Tuberculosis,Rare Diseases,"Fatigue, Night sweats",Elderly,Female,Moderate,Infectious Disease Specialist
PCOS,Chronic Disorder,"Acne, Hair thinning",Teen,Female,Severe,Gynecologist
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Mood swings, Confusion",Elderly,Female,Mild,Neurologist
Asthma,Chronic Illness,"Cough, Wheezing, Shortness of breath, Chest tightness",Child,Any,Mild,Pulmonologist
Heart Attack,Emergency Care,"Sweating, Chest pain, Nausea, Shortness of breath",Elderly,Male,Severe,Cardiologist
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Poor judgment",Elderly,Male,Moderate,Neurologist
Tuberculosis,Rare Diseases,"Cough, Night sweats, Fatigue",Elderly,Male,Mild,Infectious Disease Specialist
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Confusion, Poor judgment, Memory loss",Child,Female,Severe,Neurologist
PCOS,Chronic Disorder,"Acne, Weight gain",Teen,Female,Mild,Gynecologist
Flu,Common Illnesses,"Sore throat, Chills, Body aches",Adult,Male,Severe,General Physician
